Comments,Date,User
16 Cheapest cities to visit in the USA,May 2019,Hand Luggage Only
"Across the street from trendy bars and restaurants in Philadelphia's Fairmount neighborhood sits the fortress-like Eastern State Penitentiary. Although the abandoned prison is slowly crumbling, the intimidating architecture and vaulted ceilings are still eerily majestic. To read more about this creepy destination and its haunted history, click the link. ",Dec 2019,Business Insider
"Until I visited Philadelphia I had never registered that this is really where the United States of America happened. The founding fathers met here, the declaration of independence was signed here, the first US Presidential Residence was here, the first American Flag was created here (more of that to come) – there are firsts everywhere in Philadelphia!

And with those firsts come photo opportunities! ",Mar 2019,BoutiqueAdventurer
"Your 20s are a time to get out and explore new cultures, but don't forget to take advantage of the diverse destinations right here in the United States. Even if it's a quick weekend trip, it will feed that desire of wanderlust in just a few hours by simply hopping on a train or taking a road trip. Whether you're a foodie who's looking to try a new cuisine or a nature-lover who wants to hike the canyons, we've rounded up 2019's best places to travel in the US if you're in your 20s.",Dec 2019,PopSugar
"There's no place like Philly for the Fourth of July, and we've got the inside scoop on the *best* firework vantage points. ",Jun 2019,Philadelphia -- visitphilly.com
"It's a city full of young people, artists, and immigrants, with dozens of different neighborhoods that all share a passion for their city. As the first city in the United States to be recognized as a World Heritage City, it’s the perfect destination for history buffs or anyone who enjoys a leisurely stroll along cobblestone streets.",Dec 2019,Matador Network
Looking for an amazing place to celebrate Pride Month? Philly is the place to be! 🏳️‍🌈,Jun 2019,Philadelphia -- visitphilly.com
"National Geographic named Philadelphia the best city to visit in 2020, and we've compiled a list of all the foods you need to try when you go, according to a local. Don't miss the confections at local chain Federal Donuts, which serves up flavors like strawberry-lavender, carrot cake, and key lime pie. For award-winning Israeli food grab dinner at Zahav, and don't forget to try the hummus served with homemade laffa bread. To read more about Philly's best eats, click the link. ",Jan 2020,Business Insider
"My review of the Trek America Freedom Trail - a small group tour around the northeastern USA. New York - Philly - Washington - Amish Country - Niagara Falls - Boston - New York! 

This was a gifted trip from Trek America, but all the thoughts are honest and my own. ",Jul 2019,Emily Luxton Travels
"These destinations in the United States are either up and coming or classics experiencing a renaissance. With its cobblestones and old-fashioned riverboats, Savannah, Georgia is like a trip to the past. Visitors can sip mint juleps on rooftop bars, admire squares cloaked in Spanish moss, and enjoy hearty, seafood-heavy cuisine. Travelers to Santa Fe, New Mexico can peruse modern art galleries in ancient Pueblo-style homes, and tour the oldest church in the country. To read more, click the link.",Jan 2020,Business Insider
"Cooly preserved and spread throughout the nation, each monument shines a light on what has come before, creating a window into the meticulous engineering of the U.S. ",Aug 2019,Passion Passport
Things are heating up in Philly. Be sure to make the most of the city's incredible spring lineup! 🍃☀️,May 2019,Philadelphia -- visitphilly.com
If you're a foodie and heading to Philadelphia then this is the video for you! ,Feb 2019,BoutiqueAdventurer
Always looking for wine shops when you travel? Here's a list of the best ones across the country. ,Oct 2019,Wine Enthusiast
Celebrate the unofficial start of summer in a city that knows how to throw a party! 🎆 Your Memorial Day plans just got a whole lot better.,May 2019,Philadelphia -- visitphilly.com
"There are 23 UNESCO world heritage sites in the United States, designated for their cultural, historical, or scientific significance. Some sites, like Hawaii Volcanoes National Park, were chosen for their outstanding natural beauty and unique landscape. Others, like Philadelphia's Independence​ Hall, were chosen for their contributions to human history. Click the link to read about the rest of the remarkable sites around the country. ",Jan 2020,Business Insider
"Philadelphia is a fantastic place for foodies! Amazing markets, great restaurants, local delicacies - they are all waiting for you! Tours can be a great way to get underneath a foodie city - here are the options available so you can choose the best tour for you",Feb 2019,BoutiqueAdventurer
"What most people don’t know is that Philadelphia has one of the best park systems in the US, with over 10,000 acres of parks. ",Sep 2019,Matador Network
"It's no secret that the US has some of the spookiest cities in the world, so why not get into the Halloween spirit by visiting them and experiencing their haunts firsthand? Whether it's a road trip to one of the most outrageous haunted houses or a quick weekend getaway to a town that's known for psychic readings and tarot cards, you can't go wrong with a chill-inducing trip this Fall. We've rounded up the ultimate Halloween travel bucket list, so pack your witch's hat and manifest good vibes.",Sep 2019,PopSugar
Here's how to fulfill your cheesesteak craving like a local.,Jun 2019,USA TODAY 10Best
"Our Founding Fathers made it clear that the USA would have nothing to do with royalty, but that hasn’t stopped us from flirting with the regal notion of living like queens and kings. Throughout our history, Americans have dabbled in castle building—some stranger than others. Here are 15 of the most intriguing, all open to visitors.",Jul 2019,Fodor's Travel
Here are 11 hotels around the world with just such programs that are cheaper than therapy.,Jul 2019,Matador Network
"Big museums like the Metropolitan Museum of Art, the Louvre and the Museum of Modern Art rank highest for the most hashtags on Instagram. However, this list has curated to highlight the museums where you'll capture the best, most original and most interesting photos for your feed.",Jun 2019,TripSavvy
Hi-speed is coming! #Acela,Oct 2019,Amtrak
"September, October, and early November offer a special window of affordable possibilities before the high prices of the holidays hit.",Sep 2019,SmarterTravel
There’s nothing like the freedom and spontaneity of exploring a city entirely on foot.,Sep 2019,National Geographic
The sky's the limit when you choose one of these family-friendly and affordable urban hubs for your next trip.,May 2019,Parents
Living in a big city doesn’t mean you don’t have access to the wild outdoors.,Oct 2019,Outside Magazine
A “second city” is one that doesn’t immediately come to mind when you think of a vacation destination. These are the four best second cities in the US.,May 2019,The Points Guy
This iconic refreshment has roots in ancient Sicily.,Jun 2019,USA TODAY 10Best
A good travel photo tells you something about the place it’s depicting. But a great travel photo reveals some aspect of that place’s true character that may have been hidden—and waiting for the photographer to illuminate it.,Dec 2019,National Geographic
"Sometimes at the end of a long day, you just want to cuddle with a cow. If this sounds like you, you're in luck — many hotels around the world have found ways to play with our furry friends while not disrupting their natural states, often benefiting them through charitable donations or adoption services. Here are 11 hotels around the world with programs for animal lovers that are cheaper than therapy. ",Oct 2019,Business Insider
"Our editors and explorers have put together an itinerary of the most essential—and more importantly, sustainable—sites to see in the new year. So, where to first?",Nov 2019,National Geographic
"Whatever the need, public transportation often forms the central network that laces a city together. But at what cost?",Oct 2019,The Points Guy
"The Morris House Hotel sits tucked away on one of Old City’s quiet, charming side streets; one of its greatest charms being that it’s easy to just happen upon this peaceful respite from the historical attractions just a five minute walk away. ",May 2019,storiedhotels
Do you have a favorite American landmark? ,Apr 2019,Fodor's Travel
"To include Central Park on a list of best urban parks is like putting Harry Potter on a list of best boy wizards: pretty friggin’ obvious. The first public park ever built in the United States, Central Park is the standard against which we measure all others: a tidy rectangle smack dab in the middle of the Manhattan grid, 843 lush acres teeming with life.",May 2019,Thrillist
"Though mob methods often devolved into violence, the legacy still lives on in American pop culture as a lifestyle that was glamorous, adventurous, and thrilling all at once. ",Sep 2019,Matador Network
Miami is the perfect beach destination with unique food and amazing nightlife. Boston and Philadelphia are brimming with history and great restaurants. Nashville hosts a wide range of concerts and festivals during the summer. Check out what else you should add to your summer travel bucket list. ,May 2019,Business Insider
West Philadelphia born and raised.,May 2019,USA TODAY 10Best
"Located only two hours south of New York and two and a half hours north of D.C., Philadelphia is a convenient getaway and also ideal jumping off point from several other larger Northeastern cities. With its blend of historic roots and funky charm, Philly is more laid back than its more prominent neighbors, and it offers just as much to do, such as world-class art museums, diverse and award-winning food options, and tours of significant historical sites.  ",Apr 2019,TripSavvy
"Morris House has been quietly watching Philadelphia grow up around it for over 200 years, miraculously unchanged. 
",Apr 2019,storiedhotels
Enter if you dare...,Oct 2019,Family Vacation Critic
"The United States is home to some of the most sophisticated art museums in the world and houses some of the most famous works of art. From Leonardo da Vinci to Roy Lichtenstein, every artistic era and medium is represented in museums throughout the country.",Jun 2019,TripSavvy
"Choosing the perfect spring break destination isn't always as easy as it seems. There are tons of options out there, which can make choosing just one feel really overwhelming. If you need ideas for a great spring break trip, here are 50 destinations everyone wants to visit in the US.",Mar 2019,Insider
"Burritos are a classic lunch dish because they're simple. Really, anything can be a burrito as long as it's wrapped in a tortilla (or in some cases, a type of seaweed). To honor this great meal, Yelp provided INSIDER with data naming the best burrito place in every state across the US.",Apr 2019,Business Insider
"This Halloween, visitors to the northeast who are looking for a spooky experience need look no further than The Eastern State Penitentiary, which looms over Philadelphia like an ominous fortress. Guests who tour the ruins of the deserted prison get an eerie inside look at the former cell blocks, prison cells, and offices, which teem with brutal history. Click the link for an inside look at the tour of one of America's most famous abandoned locations.",Oct 2019,Business Insider
"They’re places to relax, places to hone your photography skills, and sometimes places to beat your head against the steering wheel when stuck in traffic. But they always bring a sense of wonder and a little bit of closeness to the water.",Mar 2019,Matador Network
"Cheers. Salute. Cin cin, Sláinte! These US 🍺 tours are the perfect way to get into the St Patrick’s Day spirit",Mar 2019,Tripadvisor
Sometimes a fairly mundane spot can become famous thanks to an iconic movie scene. ,Oct 2019,Traveller.com.au
"We’ve put together a list of a few superlatives, Easter eggs and things worth keeping in mind next time you travel through one of the country’s busiest airports.",Aug 2019,The Points Guy
Looking for an awesome vacation at a tempting price? Look no further. Here are 10 great U.S. destinations where travelers can save big this summer.,May 2019,Tripadvisor
But what qualifies as a food experience worth all that hassle? The Points Guy caught up with a handful of the country’s top jetsetting restaurateurs and chefs to find out what makes the cut.,Feb 2019,The Points Guy
"Every big city has a “grand dame” of a hotel that stands as an enduring vestige of a more glamorous time. The Bellevue is Philadelphia’s “Grand Dame of Broad Street” and, in keeping with her city’s style, some bumps along the way made her hard-won title that much more sweet.",Mar 2019,storiedhotels
"You can still cool off in Europe’s refreshing waters, just not salty ones. ",Aug 2019,The Points Guy
Want to make the most of your PTO? These great President's Day weekend trips will treat you well.,Feb 2019,Jetsetter
Snow tubing and brewery visit trips are very popular this year. The one from Philadelphia to Big Boulder is brand new this year and has sold out several dates. ,Feb 2019,Liftopia
"From the Baseball Hall of Fame in New York to a jungle in Florida, here are some of the best museums, zoos, and aquariums where you can spend the night.",Sep 2019,Matador Network
"Lunar New Year is a sacred time for many Asian cultures. This year is the Year of the Pig, the last animal in the Chinese zodiac and marking completion of a 12-year cycle. The new year -- falling on February 5 -- brings with it good fortune, as we sweep away the dregs of the past and make room for future prosperity. If you want to get in on the fun, here's a smattering of domestic celebrations ushering in a year of good will and fortune.",Feb 2019,Thrillist
"Step into The Warwick Hotel Rittenhouse Square and bask in the glow of the lobby, with its fantastically large windows and its mixture of odes to the past and eclectic nods to the future. Just steps off of one of Philadelphia’s most bustling neighborhoods, you’re in good company — the best of the best stay near Rittenhouse Square when visiting the City of Brotherly Love. ",Feb 2019,storiedhotels
"The renderings give us a taste of what to expect: plush armchairs, cafe tables, work nooks, a conference room meeting space, and a lactation lounge, with cozy woods on the floors and walls."" by Fast Company.",Feb 2019,Amtrak
Museums are meant to display artifacts and other curiosities for members of the public to observe and enjoy. But not all museums focus on your typical artwork and sculptures.,Feb 2019,Business Insider
"Each year, the history, present, and future of racial justice in the U.S. comes into focus with Martin Luther King, Jr. Day in January and Black History Month in February.",Jan 2019,SmarterTravel
"Not all states or even cities are created equal, especially in terms of providing facilities for those with disabilities. INSIDER found some of the most accessible cities the US has to offer, according to various studies and rankings. From hydraulic lifts to a wheelchair friendly zipline, these cities are truly paving the way for inclusivity.",Jan 2019,Business Insider
Here are 11 cool vending machines you'll find around the world in places from the United Arab Emirates to Australia.,Feb 2019,Business Insider
"From big popular cities to laid-back coastlines, the United States is made up of so many unique spots that it could be hard to decide where to go next. Whether you're a foodie who's looking to try a new cuisine or a nature-lover who wants to hike the canyons, we've rounded up 2019's best places to travel in the US if you're in your 20s.",Feb 2019,PopSugar
"If you're trying to avoid long waits (weeks to even months) to schedule an interview for Global Entry, these 49 airports may have found the solution.",Mar 2019,The Points Guy
"From cities rich in greenery to those with stunning architecture to those that boast incredible beaches, there are beautiful places all across the 50 states. To find the most picturesque locales around the US, INSIDER consulted polls by travel publications and research conducted by real estate groups and tourism advisors. In no particular order, these are 21 of the prettiest cities in the country.",Mar 2019,Business Insider
"If you’re planning on traveling today, keep an eye out for flight delays on the East Coast! ",Dec 2018,Flights
THE. WAIT. IS. FINALLY. OVER. ,Oct 2019,The Points Guy
"In the cramped space of an airplane, and the very public spaces of an airport, nursing can be a challenge for some moms and babies. The good news is air travel and airports in general are getting more and more accommodating for traveling mothers who also happen to be breastfeeding young children.",Feb 2019,The Points Guy
"Emotional support never tasted so good! If you're traveling through the Philadelphia International Airport this holiday season, stop by Popeye's in Terminal C and pick up some fried chicken to go for your flight.",Dec 2018,Flights
"Here are 8 eerie, abandoned prisons around the US and the stories behind them.",Jan 2019,Insider
Where are the best tacos in your state? ,Jan 2019,Insider
"Bott and Co, a legal organization in the UK, found the top 50 international cities for foodies, based on the number of nationalities represented in each city's restaurant scene. Some of these cities might surprise you, and you may not have heard of some national cuisines. It's always the hole in-the-wall restaurants — ones that you maybe can't pronounce — that are the best.",Nov 2018,Business Insider
"Traveling to cities (especially in the northeast) often comes with a hefty price tag. But if you’re heading to Philadelphia on your next vacation, you’re in luck: the City of Brotherly Love is brimming with free attractions that will teach you unique history, indulge your creative side, get you exploring outdoors, immerse you in the arts, and so much more. ",Jan 2019,TripSavvy
There are ways to still see your favorite artists and visit a new city in the process.,Feb 2019,The Points Guy
The perfect way to get into the holiday spirit!,Nov 2018,Family Vacation Critic
"""From wellness retreats to experiences that give back to the planet and cooking courses that foster an intimate connection to another culture’s cuisine — you’re bound to find something for everyone on your list.""",Dec 2018,The Points Guy
"Everyone needs to escape from the concrete jungle from time to time. And our centrally located city allows even the car-less to take easy, affordable, and convenient day trips. All you need is a free Saturday, some friends, and a sense of adventure, and you can flee for sand and surf, charming river towns, or nostalgic boardwalks without too much trouble.",Dec 2018,Refinery29
"If you look at the restaurants awarded Michelin stars or those that make it onto the World’s 50 Best list -- both prestigious and lauded awards -- they tend to be expensive, with highly trained servers, and dishes with profound technical execution. To consider only those restaurants to be the “best,” is a narrow definition that dismisses some of the best food around. ",Jan 2019,Thrillist
"The Netflix series Chef’s Table brings viewers into some of the world’s greatest kitchens. And while the show often focused on high-end restaurants in its first few seasons, creator David Gelb and his crew have gradually expanded their scope in recent years to include more destinations where guests can enjoy amazing meals at a reasonable price. The one thread that unites these restaurants is that they all serve food that reflects the personal journeys of the talented chefs in their kitchens.",Feb 2019,Eater
"If you’re tired of the same old Passover routine, or if you’re curious about the holiday but would rather not indulge in gefilte fish goo the old fashioned way, check out these restaurants serving updated Passover dishes. ",Apr 2019,Matador Network
It's not too late to plan a fall escape!,Nov 2018,Family Vacation Critic
Where to celebrate Beaujolais Nouveau Day.,Nov 2018,Wine Enthusiast
"Budget airlines might be slowly squeezing you into tighter and tighter spaces like the Death Star trash compactor, but they’re making flights to Europe cheaper than ever. If you’ve never been able to afford the airfare in previous years, now might be the time for your first European trip. January is the cheapest month for buying flights overall in 2019, but there are also a lot of specific destinations where flight prices are dropping steeply compared to what they were in previous years.",Jan 2019,Thrillist
"These scary, morbid, and haunted places around the world make perfect vacation destinations for lovers of all things horror. ",Nov 2018,Insider
"If you’ve resolved to take more time to relax and reflect in the new year, we’ve got some ideas for your next extended vacation.",Dec 2018,Expedia
"Summer may seem far away, but planning a road trip with kids requires months of planning. We've done the research for you and picked out a few of the more hidden gems across the United States for you to visit with your family. From sand sledding to cave mining, museums to farms, we've compiled 49 attractions all over the country that offer your kiddos unique experiences involving education, play, and simple, pure enjoyment.",Dec 2018,PopSugar
Have you been to any of these?,Oct 2018,Family Vacation Critic
"There are plenty of things to consider when choosing the perfect restaurant — and in the world of Instagram, the scenery can be just as important as the quality of the food.",Feb 2019,Business Insider
What's on tap for your next vacation?,Oct 2018,Experiences
"Have you ever seen an endless field of bright orange poppies? Or 500 varieties of lilacs just waiting to be photographed? If finding gorgeous blooms is on your bucket list, in the U.S., you can head to cities like Mount Vernon, Washington and Holland, Michigan to get your fill. From bluebonnets to roses, azaleas, and tulips in full bloom, you just need to hop on a plane, in your car, or even on a train to see some of the country's most gorgeous flowers.",Jan 2019,"O, The Oprah Magazine"
"If you're scheduled to fly on WOW Air next year, keep an eye out for cancellations. Due to downsizing, WOW Air will be taking several planes out of their circulation.",Dec 2018,Flights
"New York, Los Angeles, San Francisco: Not that you care, but you didn’t make this list. Austin and Portland: we love your weirdness, but unfortunately, with great popularity comes not-so-great prices. Whether or not they admit it, most writers, musicians, illustrators, makers, and tinkerers of every stripe aspire to remove the “struggling” from the “struggling artist.” So instead, we found the best places to move next time the landlord jacks up your rent.",Mar 2019,Thrillist
!!!,Oct 2018,Family Vacation Critic
Check out our list of the 13 Best New Restaurants in the U.S. that opened in 2018.,Nov 2018,Thrillist
One less cost!,Nov 2018,Family Vacation Critic
"When going out to eat, you obviously always want to pick a restaurant that offers great food. Sometimes, though, you want to go somewhere fun, different, and unique — and that's where themed restaurants come in.",Aug 2018,Insider
"According to Reuters, 64% of Americans over 18 surveyed said that they had had a cup of coffee the previous day — a new high.

Clearly, Americans love coffee. But where can they find the best cup? WalletHub released a study breaking down the best cities across the nation for coffee-drinkers. ",Oct 2018,Business Insider
"In the City of Brotherly Love, these beats have serious street cred.",Aug 2018,Pandora
It's here! Check out America's 100 Best Wine Restaurants of 2019! ,Jun 2019,Wine Enthusiast
"We've combed through each state and listed an array of dazzling destinations, guaranteed to satisfy your bubbling wanderlust. No matter if you're looking to flee the piles of snow or flock to them, this country oozes with adventure for every type of wanderer. So go ahead, pack your bags.",Nov 2018,PopSugar
The Jawn: Philly's Hip Hop is where you'll hear hip hop from the city of brotherly love. Tune in to hear new and classic hip hop from the Illadelph.,Aug 2018,Pandora
Thinking about traveling through the Northeast Corridor? Read this: ,Feb 2019,Amtrak
Psst... they're especially perfect for a fall getaway! ,Aug 2018,Family Vacation Critic
Abandoned places have a way of sending chills up your spine.,Oct 2018,Insider
"These properties are longstanding testaments to the fact that hostels can survive, and even thrive, in a hostile hostel environment.",Dec 2018,The Points Guy
"
There's never been a better time to be meatless in America. Plant-based burgers are achieving the impossible. People are figuring out how to make incredible burgers out of cantaloupe. They're making huge strides in lab-grown meat, although the vegetarian status of that is certainly up for debate. Also, perhaps most importantly, these 21 plant-based restaurants exist as not just fantastic examples of vegan and vegetarian fare, but top restaurants, period.",Jan 2019,Thrillist
"UFO sightings in Transylvania, murders on a luxury cruise ship, and spirits wandering the halls of British castles: Nothing beats a good ghost story on Halloween, and our planet is chock full of 'em.",Oct 2018,Conde Nast Traveler
"There's no doubt that the United States is one of the best countries to travel to. After all, there are 50 states available for exploration.

But not all states or even cities are created equal, especially in terms of providing facilities for those with disabilities. INSIDER found some of the most accessible cities the US has to offer.",Nov 2018,Insider
"Every state in the US has a bar or restaurant that's opened up its space to the outdoors.

Some spots have mountain or skyline views, others have breweries and pools — here are the best rooftop bars in all 50 states.
",Oct 2018,Business Insider
"Step back in time with the speakeasies that survived Prohibition, as well as modern cocktail bars that take their inspiration from the time period.",Mar 2019,Fodor's Travel
"""The Conrad Hong Kong is a Hilton property that’s decently priced for Hong Kong, a very expensive city. Pros: fantastic location, excellent service and comfortable rooms. Cons: slightly dated rooms and lobby.""",Nov 2018,The Points Guy
"From the volcanoes of Hawaii to the ice fields of Alaska, the United States’ natural and cultural heritage is as vast and diverse as the country itself. Find out which U.S. locations have already been named UNESCO World Heritage sites and which sites are vying to be named next.",Sep 2018,National Geographic
"With the Democratic National Convention converging on Philly at the end of July, the Cradle of Liberty is once again the epicenter of American politics. While much has changed since that revolutionary summer of 1776 (and 1936, the last time the Dems nominated their presidential candidate here), The City of Brotherly Love remains America’s quintessential bar hop. Alex Pasquariello shows you how to drink like a politico in Philadelphia this summer.",Jul 2018,Tripadvisor
"From a massive hole that makes you feel like you’re falling into the center of the Earth to artwork that blends in with the natural environment, these are a few of the coolest street art murals in the world.",Jun 2019,Matador Network
"""With a bit of advance research and planning, you should be able to find plenty of inexpensive things to do while on vacation just about anywhere.""",Oct 2018,The Points Guy
#cruise #vacation #planning,Sep 2018,Cruise Critic
There are sugary hidden gems just waiting to be found all around the world. ,Dec 2018,Matador Network
"The best children's museums in the country feature interactive exhibits where kids want to linger, playing is encouraged, and learning is a byproduct of the fun.",Jan 2019,Parents
Boo! Follow our guide to some of the most bone-chilling corners of our world.,Oct 2018,National Geographic
These airports provide the best public transportation to the city center. Why can't all major U.S. airports make it this easy? ,Nov 2018,Airfarewatchdog
"We put together our own city guide of some of the best spots we've been for bachelorette parties, plus where to stay and eat, and what to do while you're there. ",Nov 2018,The Knot
#MondayMotivation,Sep 2018,Family Vacation Critic
South Street Scene: Philly Indie is your source for the hottest local indie music from the one of the hottest underground scenes on the East Coast. You will hear great tracks from hometown legends as well as budding up-and-comers.,Aug 2018,Pandora
